unified_id,stellar_id,disposition,orbital_period_days,transit_duration_hr,transit_depth_ppm,planet_radius_rearth,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_rsun,stellar_logg_cgs,magnitude,mission
1967.01,320079492,CANDIDATE,0.4262223,0.5111692,835.5797306,4.3877473,2918.8715623,17154.6137164,5343.0,1.4990799,4.1,9.9666,TESS
1968.01,210445631,CANDIDATE,3.97195,4.297,7670.0,13.8556,,1605.22,6535.3,1.55,4.2,10.52,TESS
1969.01,293708935,FALSE_POSITIVE,2.6855915,2.0491187,488.2401788,3.5729712,1674.1918061,1856.700481,5796.0,1.51715,4.14,8.5941,TESS
197.01,441462736,CONFIRMED,14.278122,8.6972718,827.9264426,8.3566078,789.1468373,91.6541814,5105.0,2.90324,3.39182,7.3566,TESS
1970.01,162695785,CANDIDATE,2.5599667,2.9695871,11049.7594662,17.5040682,1833.2621832,2669.4348198,6432.2,1.56996,4.11,11.0048,TESS
1971.01,253132689,FALSE_POSITIVE,3.217824,1.735,1288.0,5.84702,1081.0,227.191,5418.0,1.67,4.17,10.3345,TESS
1972.01,267414551,CANDIDATE,4.7631,1.838,850.0,4.06445,1026.0,184.105,6105.1,1.48,4.12,9.7472,TESS
1973.01,47617161,CANDIDATE,3.9194856,2.3461465,5155.2335962,,1156.0210269,422.069467,5149.0,,4.35,10.7565,TESS
1974.01,295562522,CANDIDATE,5.438218,1.675,7830.0,14.7798,987.0,157.789,5342.0,1.49,4.09,10.5833,TESS
1975.01,467281353,FALSE_POSITIVE,2.8319354,3.21,780.0,4.18335,1531.0,914.113,5408.7,1.48,,10.2081,TESS
1976.01,329888006,CANDIDATE,7.6943096,8.903,7400.0,,1536.0,925.441,4956.8,,,8.8681,TESS
1977.01,383531859,FALSE_POSITIVE,17.0614756,3.384,2730.0,17.1048027,1158.6125921,425.8669904,9184.7,2.14183,4.09,9.5918,TESS
1978.01,458856474,FALSE_POSITIVE,6.0783344,4.8904528,16168.288913,16.9877965,998.7280008,235.1310083,8719.5,1.0,4.08,5.666,TESS
1979.01,458857720,FALSE_POSITIVE,1.30924,2.535,3370.0,,4208.0,52079.9,8832.5,,4.26,9.8678,TESS
198.01,12421862,CONFIRMED,10.2150168,1.9683066,994.1089045,1.4777754,420.9334696,7.4195034,3763.0,0.447336,4.83739,9.92801,TESS
1980.01,127793615,FALSE_POSITIVE,9.27898,6.514,9020.0,15.0807,1589.0,1058.72,5898.8,1.45,4.08,10.9805,TESS
1981.01,378613125,CANDIDATE,2.4763492,3.593,593.0,4.72716,3064.0,14633.4,8749.3,2.14,,10.001,TESS
1982.01,437329044,CANDIDATE,17.1725007,5.016,3610.0,9.89011,897.0,107.942,6617.0,1.41,4.21,10.1919,TESS
1983.01,89535068,FALSE_POSITIVE,6.1110945,4.2566318,1098.152672,5.873208,1013.3467617,249.203041,5725.0,1.07235,4.54,10.3349,TESS
1984.01,162246865,FALSE_POSITIVE,0.5646193,1.295,510.0,3.01498,2674.0,8493.1,6237.0,1.3,4.24,10.361,TESS
1985.01,469212332,CANDIDATE,30.7864669,3.466,8750.0,23.8125,861.0,112.151,6101.8,2.05,,9.9681,TESS
1986.01,468997317,CANDIDATE,7.5043829,4.8967771,12479.7176832,,930.973018,177.5290293,8613.8,,,8.135,TESS
1987.01,349088467,CANDIDATE,2.5861465,1.299,2510.0,11.9748,1131.0,271.803,5635.4,2.33,3.71,9.62418,TESS
1988.01,161156159,FALSE_POSITIVE,2.2818488,3.973,1483.0,7.2854,1940.0,2351.9,5368.0,2.15,,10.1854,TESS
1989.01,324395151,FALSE_POSITIVE,3.4551479,5.7444704,5191.7260014,,1205.6461821,499.3447666,8046.5,,4.12,10.2581,TESS
199.01,309792357,CONFIRMED,104.8729635,6.554,12183.0,10.223,358.0,2.75278,5350.0,0.88,4.52347,10.0391,TESS
1990.01,457939414,FALSE_POSITIVE,3.7899524,5.5268401,4345.4373432,11.7871267,1263.4194534,602.1590809,5579.5,1.10456,4.22,10.1574,TESS
1991.01,82707763,FALSE_POSITIVE,6.6570835,5.285,7164.0,14.8934,1336.0,528.884,5805.6,1.73,4.13,10.1405,TESS
1992.01,147340931,FALSE_POSITIVE,4.31224,2.704,4990.0,12.3576,1414.0,664.873,,1.72,,10.5287,TESS
1993.01,453464017,FALSE_POSITIVE,3.9416903,2.537,12840.0,19.6321,1722.0,1460.48,6190.4,1.48,4.15,10.248,TESS
1994.01,445903569,CONFIRMED,4.0337201,3.48,2868.0,11.5159,1841.0,1910.26,7369.0,2.22,4.27,10.2396,TESS
1995.01,299023386,CANDIDATE,3.1056464,1.772,800.0,13.2277,1546.0,949.504,7804.8,4.44,3.78,9.8153,TESS
1996.01,275384718,FALSE_POSITIVE,7.72433,8.03,7120.0,20.0285,1630.0,1173.53,6249.4,2.32,4.19,10.2372,TESS
1997.01,142378043,CANDIDATE,1.8359766,1.062,1073.0,5.11603,1363.0,573.168,6311.5,1.61,4.17,9.8916,TESS
1998.01,429295277,FALSE_POSITIVE,1.10833,2.288,1060.0,4.58274,2270.0,4415.23,5972.0,1.4,4.08,10.186,TESS
1999.01,447206604,CANDIDATE,7.2133579,2.345,8814.0,21.2234,,271.595,5843.0,1.16,4.33,10.4109,TESS
200.01,410214986,CONFIRMED,8.1382222,3.2797025,3852.0299874,6.1757682,836.7056912,115.8275563,5414.0,0.951985,4.438,7.8541,TESS
2000.01,371188886,CONFIRMED,9.1270519,3.549,4568.0,8.34235,970.0,147.466,5400.0,1.18,4.43,10.3579,TESS
2000.02,371188886,CONFIRMED,3.098367,1.963,496.0,2.47118,1185.0,328.067,5400.0,1.18,4.43,10.3579,TESS
2001.01,118084044,CANDIDATE,2.7435213,1.8047048,1518.9012847,22.0496668,3128.1792663,22630.1553062,7896.3,3.9611499,3.6,8.9578,TESS
2002.01,356453768,FALSE_POSITIVE,2.3330349,3.005,2795.0,15.6213,2951.0,12107.6,5986.5,1.56,4.32,10.4879,TESS
2003.01,58463434,CANDIDATE,,3.529,3860.0,15.7171,1040.0,194.656,7043.2,2.46,3.98,9.6569,TESS
2004.01,439610306,FALSE_POSITIVE,1.79988,3.518,180.0,3.32197,2505.0,6540.68,6136.9,2.46,3.85,9.0607,TESS
2005.01,147660886,CANDIDATE,17.3057923,4.1729767,2807.066874,12.4978402,1221.3889754,525.9409472,6995.5,2.2275901,4.1,9.4916,TESS
2006.01,41173048,FALSE_POSITIVE,6.40938,2.356,280.0,10.1474,740.0,50.0267,4650.0,8.3,2.54,9.2225,TESS
2007.01,219466784,CANDIDATE,,9.1654068,912.2762923,3.1563904,282.0314027,1.4952399,5249.0,0.895408,4.48682,10.199,TESS
2008.01,70887357,FALSE_POSITIVE,723.8345008,7.382946,3119.2983693,13.1361697,275.2869842,1.3572621,5463.0,1.94771,3.77778,8.64807,TESS
2009.01,243187830,CANDIDATE,1071.0898448,2.1734134,865.169438,2.2407785,276.8338183,1.3880259,4755.33,0.701499,4.62683,7.3551,TESS
201.01,350618622,CONFIRMED,52.9781419,4.7965246,6347.2690959,11.4471492,598.2132842,30.2653161,6461.8,1.33031,4.35,8.5822,TESS
201.02,350618622,CANDIDATE,5.8492379,3.257,109.0,1.18919,1237.0,389.669,6461.8,1.33,4.35,8.5822,TESS
2010.01,26547036,CONFIRMED,1134.6723963,8.6844623,11679.2159464,11.7582195,437.2015486,8.6347102,5842.0,1.0735199,4.39929,9.26693,TESS
2011.01,136916387,CONFIRMED,11.5778362,3.8772499,217.3994918,1.5422129,806.3295569,99.9013415,5739.0,1.02607,4.51,5.0494,TESS
2011.02,136916387,CONFIRMED,27.5920718,3.2743016,555.3352929,2.7050278,603.6616824,31.3830711,5739.0,1.02607,4.51,5.0494,TESS
2011.03,136916387,CONFIRMED,,3.5341354,195.1972939,1.6208326,1091.635552,335.6075222,5739.0,1.02607,4.51,5.0494,TESS
2012.01,138294130,CONFIRMED,3.0565259,4.145,8800.0,15.1633,1715.0,1438.0,5981.0,1.6,4.07,10.6506,TESS
2013.01,188589164,CONFIRMED,2.6162769,1.134893,1120.6014184,1.0972867,533.2271643,19.1060128,3352.0,0.325635,4.8984,10.2705,TESS
2014.01,198588220,CONFIRMED,4.8099755,6.696,6965.0,22.6223,1869.0,2029.17,6417.0,2.65,3.7,9.63331,TESS
2015.01,368287008,CONFIRMED,3.3491408,1.207,7210.0,5.37673,657.0,31.0153,3223.0,0.32,4.89993,12.8387,TESS
2016.01,219508169,CANDIDATE,6.8161105,2.718,1377.0,2.98458,850.0,86.7877,5175.0,0.84,4.54,10.408,TESS
2016.02,219508169,CANDIDATE,2.4590369,1.862,1179.0,2.74738,1160.0,301.374,5175.0,0.84,4.54,10.408,TESS
2016.03,219508169,CANDIDATE,25.3369848,3.214,1330.0,3.23582,624.0,25.3267,5175.0,0.84,4.54,10.408,TESS
2017.01,357416482,FALSE_POSITIVE,5.49826,2.04,12929.0,16.2801,,232.345,6362.6,1.34,,8.2057,TESS
