unified_id,stellar_id,disposition,orbital_period_days,transit_duration_hr,transit_depth_ppm,planet_radius_rearth,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_rsun,stellar_logg_cgs,magnitude,mission
K00752.01,10797460,CONFIRMED,9.48803557,2.9575,615.8,2.26,793.0,93.59,5455.0,0.927,4.467,15.347,KEPLER
K00752.02,10797460,CONFIRMED,54.4183827,4.507,874.8,2.83,443.0,9.11,5455.0,0.927,4.467,15.347,KEPLER
K00753.01,10811496,CANDIDATE,19.89913995,1.7822,10829.0,14.6,638.0,39.3,5853.0,0.868,4.544,15.436,KEPLER
K00754.01,10848459,FALSE_POSITIVE,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,0.791,4.564,15.597,KEPLER
K00755.01,10854555,CONFIRMED,2.525591777,1.6545,603.3,2.75,1406.0,926.16,6031.0,1.046,4.438,15.509,KEPLER
K00756.01,10872983,CONFIRMED,11.09432054,4.5945,1517.5,3.9,835.0,114.81,6046.0,0.972,4.486,15.714,KEPLER
K00756.02,10872983,CONFIRMED,4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,0.972,4.486,15.714,KEPLER
K00756.03,10872983,CONFIRMED,2.56658897,2.429,226.5,1.59,1360.0,807.74,6046.0,0.972,4.486,15.714,KEPLER
K00114.01,6721123,FALSE_POSITIVE,7.36178958,5.022,233.7,39.21,1342.0,767.22,6227.0,1.958,3.986,12.66,KEPLER
K00757.01,10910878,CONFIRMED,16.06864674,3.5347,4914.3,5.76,600.0,30.75,5031.0,0.848,4.485,15.841,KEPLER
K00001.01,11446443,CONFIRMED,2.470613377,1.74319,14231.0,13.04,1339.0,761.46,5820.0,0.964,4.457,11.338,KEPLER
K00002.01,10666592,CONFIRMED,2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,1.952,4.019,10.463,KEPLER
K00010.01,6922244,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,1.451,4.169,13.563,KEPLER
K00112.02,10984090,CONFIRMED,3.709214104,2.6302,131.1,1.16,1206.0,500.46,5833.0,1.022,4.407,12.772,KEPLER
K00742.01,10419211,FALSE_POSITIVE,11.521446064,3.6399,17984.0,150.51,753.0,75.88,5795.0,0.848,4.554,15.472,KEPLER
K00743.01,10464078,FALSE_POSITIVE,19.40393776,12.2155,8918.7,7.18,523.0,17.69,5043.0,0.68,4.591,15.487,KEPLER
K00744.01,10480982,FALSE_POSITIVE,19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,0.947,4.496,15.341,KEPLER
K00745.01,10485250,FALSE_POSITIVE,16.46983774,9.4378,10479.0,7.94,595.0,29.61,5152.0,0.786,4.517,15.788,KEPLER
K00746.01,10526549,CONFIRMED,9.27358173,3.2875,1288.3,2.47,649.0,41.85,4856.0,0.696,4.583,15.302,KEPLER
K00747.01,10583066,CONFIRMED,6.02930329,1.5821,1912.7,2.85,678.0,50.04,4537.0,0.672,4.648,15.784,KEPLER
K00748.01,10583180,FALSE_POSITIVE,2.696370652,3.6129,397.9,1.58,1066.0,305.34,4989.0,0.819,4.504,15.269,KEPLER
K00749.01,10601284,CONFIRMED,5.349553819,3.0278,831.0,2.55,919.0,168.99,5185.0,0.91,4.44,15.416,KEPLER
K00749.02,10601284,CONFIRMED,3.94105221,2.5984,363.3,1.7,1018.0,253.15,5185.0,0.91,4.44,15.416,KEPLER
K00749.03,10601284,CONFIRMED,8.10904807,3.596,217.4,1.3,800.0,97.03,5185.0,0.91,4.44,15.416,KEPLER
K00113.01,2306756,FALSE_POSITIVE,386.6030528,6.8057,24927.0,41.5,297.0,1.84,5543.0,1.58,4.081,12.394,KEPLER
K00750.01,10662202,CONFIRMED,21.67699193,3.4555,857.2,2.95,530.0,18.64,4954.0,0.828,4.5,15.377,KEPLER
K00751.01,10682541,CONFIRMED,4.99677968,2.1717,934.7,2.78,917.0,166.95,5339.0,0.847,4.552,15.861,KEPLER
K00769.01,11460018,CONFIRMED,4.280963604,2.875,750.8,2.3,1012.0,247.87,5644.0,0.831,4.564,15.356,KEPLER
K00770.01,11463211,FALSE_POSITIVE,1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,0.831,4.563,15.525,KEPLER
K00771.01,11465813,FALSE_POSITIVE,670.645531,53.412,18091.0,14.14,196.0,0.35,5520.0,0.983,4.466,15.207,KEPLER
K00772.01,11493732,FALSE_POSITIVE,61.2563628,7.633,5123.3,39.87,505.0,15.43,6144.0,1.091,4.402,15.25,KEPLER
K00773.01,11507101,CONFIRMED,38.3775486,5.588,724.2,2.82,529.0,18.53,5481.0,1.036,4.369,15.172,KEPLER
K00757.02,10910878,CONFIRMED,41.19725502,4.6297,2213.9,3.86,439.0,8.76,5031.0,0.848,4.485,15.841,KEPLER
K00757.03,10910878,CONFIRMED,6.252962249,2.5819,1036.9,2.65,823.0,108.3,5031.0,0.848,4.485,15.841,KEPLER
K00758.01,10987985,CONFIRMED,16.01308419,3.2554,1121.9,3.1,593.0,29.31,5015.0,0.826,4.499,15.39,KEPLER
K00759.01,11018648,CONFIRMED,32.62876672,4.7971,1804.8,3.36,506.0,15.55,5586.0,0.798,4.56,15.082,KEPLER
K00759.02,11018648,CONFIRMED,91.7732862,6.473,652.0,2.12,359.0,3.92,5586.0,0.798,4.56,15.082,KEPLER
K00760.01,11138155,CONFIRMED,4.959319244,2.22739,9802.0,12.21,1103.0,349.4,5712.0,1.082,4.359,15.263,KEPLER
K00761.01,11152159,FALSE_POSITIVE,2.701287801,3.3827,860.4,6.54,1222.0,527.81,5550.0,0.91,4.468,15.54,KEPLER
K00762.01,11153539,CONFIRMED,4.49876511,3.7362,460.0,2.1,1133.0,389.62,6075.0,0.969,4.486,15.395,KEPLER
K00763.01,11242721,FALSE_POSITIVE,19.651209505,5.2514,11766.0,12.42,730.0,67.03,6074.0,1.063,4.391,15.536,KEPLER
K00115.01,9579641,CONFIRMED,5.412203927,2.9472,601.6,2.94,1093.0,337.68,5779.0,1.087,4.339,12.791,KEPLER
K00764.01,11304958,CONFIRMED,41.43958662,10.5989,2793.1,5.5,516.0,16.72,5468.0,1.046,4.367,15.4,KEPLER
K00765.01,11391957,CONFIRMED,8.35389523,2.2514,1041.6,2.52,790.0,91.9,5592.0,0.787,4.582,15.317,KEPLER
K00766.01,11403044,CONFIRMED,4.125543472,3.1744,1487.3,4.43,1243.0,565.35,6174.0,1.103,4.417,15.506,KEPLER
K00767.01,11414511,CONFIRMED,2.816504904,2.50587,16814.0,12.21,1219.0,521.13,5532.0,0.955,4.452,15.052,KEPLER
K00768.01,11442465,FALSE_POSITIVE,33.93373447,14.561,8503.7,7.34,430.0,8.11,5040.0,0.705,4.628,15.716,KEPLER
K00786.01,12110942,CONFIRMED,3.689920099,2.6557,426.7,1.89,1147.0,408.99,5880.0,0.917,4.518,15.242,KEPLER
K00787.01,12366084,CONFIRMED,4.431238488,3.15,1010.9,3.25,1104.0,351.23,5714.0,1.015,4.428,15.367,KEPLER
K00787.02,12366084,CONFIRMED,11.37936986,2.6255,1023.5,3.95,806.0,99.68,5714.0,1.015,4.428,15.367,KEPLER
K00788.01,12404086,CONFIRMED,26.39432897,3.573,1510.9,3.07,489.0,13.49,5129.0,0.763,4.595,15.234,KEPLER
K00116.01,8395660,CONFIRMED,13.57078281,3.3539,511.7,2.64,785.0,89.61,5854.0,1.012,4.406,12.882,KEPLER
K00115.02,9579641,CONFIRMED,7.12594387,3.0014,192.4,1.79,997.0,233.31,5779.0,1.087,4.339,12.791,KEPLER
K00774.01,11656840,FALSE_POSITIVE,7.442652004,2.3078,24446.0,15.03,967.0,206.78,6108.0,0.956,4.469,15.27,KEPLER
K00775.01,11754553,CONFIRMED,16.38489988,3.0249,1127.1,2.0,433.0,8.35,4126.0,0.615,4.661,15.095,KEPLER
K00775.02,11754553,CONFIRMED,7.8774163,2.0805,1306.1,2.16,553.0,22.18,4126.0,0.615,4.661,15.095,KEPLER
K00775.03,11754553,CONFIRMED,36.4454001,4.007,1122.3,1.99,332.0,2.88,4126.0,0.615,4.661,15.095,KEPLER
K00776.01,11812062,CONFIRMED,3.728732147,2.683,5226.5,6.02,1023.0,258.34,5497.0,0.809,4.577,15.523,KEPLER
K00777.01,11818800,CANDIDATE,40.4195037,3.362,6256.0,7.51,467.0,11.29,5446.0,0.781,4.507,15.487,KEPLER
K00778.01,11853255,CONFIRMED,2.243380573,1.1196,821.7,1.99,822.0,107.6,4149.0,0.564,4.698,15.135,KEPLER
K00779.01,11909839,FALSE_POSITIVE,10.405998015,6.5036,14489.0,11.23,833.0,113.94,5746.0,0.924,4.393,15.562,KEPLER
K00780.01,11918099,CONFIRMED,2.337437946,1.9982,971.2,2.34,1070.0,311.16,5005.0,0.765,4.595,15.334,KEPLER
K00780.02,11918099,CANDIDATE,7.2406612,0.558,556.4,19.45,734.0,68.63,5005.0,0.765,4.595,15.334,KEPLER
K00115.03,9579641,CANDIDATE,3.43591631,3.133,23.2,0.55,1272.0,617.61,5779.0,1.087,4.339,12.791,KEPLER
K00781.01,11923270,CONFIRMED,11.59822233,2.5237,2804.5,2.65,396.0,5.82,3688.0,0.473,4.79,15.937,KEPLER
K00782.01,11960862,CONFIRMED,6.575315881,4.3084,2793.3,5.31,1015.0,251.38,5992.0,0.989,4.415,15.312,KEPLER
K00783.01,12020329,CONFIRMED,7.275040844,7.5377,3001.0,4.86,833.0,113.64,5485.0,0.867,4.556,15.08,KEPLER
K00784.01,12066335,CONFIRMED,19.27153892,2.7594,1219.8,1.93,393.0,5.66,4077.0,0.56,4.702,15.385,KEPLER
K00784.02,12066335,CONFIRMED,10.06524317,1.369,1053.3,1.91,488.0,13.43,4077.0,0.56,4.702,15.385,KEPLER
K00785.01,12070811,CONFIRMED,12.3935651,3.8896,916.6,2.66,677.0,49.68,5557.0,0.75,4.603,15.505,KEPLER
K00116.02,8395660,CONFIRMED,43.84439721,6.802,615.2,2.87,531.0,18.77,5854.0,1.012,4.406,12.882,KEPLER
K00798.01,3120431,FALSE_POSITIVE,3.341913228,3.813,725.3,21.55,1032.0,268.67,5295.0,0.811,4.551,15.629,KEPLER
K00799.01,3246984,FALSE_POSITIVE,1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,5735.0,0.973,4.41,15.279,KEPLER
K00800.01,3342970,CONFIRMED,2.711504086,3.0099,837.5,3.12,1420.0,960.79,6214.0,1.076,4.442,15.541,KEPLER
K00800.02,3342970,CONFIRMED,7.21203748,4.0491,950.4,3.32,1025.0,260.58,6214.0,1.076,4.442,15.541,KEPLER
K00789.01,12459725,FALSE_POSITIVE,14.1798187,2.505,459.9,1.88,711.0,60.35,5799.0,0.878,4.539,15.727,KEPLER
K00790.01,12470844,CONFIRMED,8.47237911,2.7245,1123.5,2.59,751.0,75.44,5354.0,0.788,4.587,15.339,KEPLER
K00790.02,12470844,CONFIRMED,60.4189369,5.039,931.3,2.36,390.0,5.49,5354.0,0.788,4.587,15.339,KEPLER
K00791.01,12644822,CONFIRMED,12.611904345,5.1497,6105.6,7.4,753.0,76.15,5795.0,0.919,4.508,15.14,KEPLER
K00792.01,2440757,FALSE_POSITIVE,1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,6017.0,1.339,4.22,15.122,KEPLER
K00793.01,2445129,FALSE_POSITIVE,10.31872301,3.836,871.7,28.59,876.0,139.26,5927.0,1.06,4.409,15.065,KEPLER
K00794.01,2713049,CONFIRMED,2.539183147,2.4282,382.1,2.06,1332.0,743.09,5519.0,1.062,4.35,15.026,KEPLER
K00795.01,3114167,CONFIRMED,6.770300385,2.0844,1304.0,2.77,812.0,102.87,5653.0,0.679,4.656,15.591,KEPLER
K00796.01,3114661,FALSE_POSITIVE,0.444291966,2.0792,10967.0,27.51,1836.0,2706.26,5255.0,0.636,4.678,15.748,KEPLER
K00797.01,3115833,CANDIDATE,10.181584004,3.5089,5741.1,7.73,812.0,102.91,5988.0,0.836,4.541,15.657,KEPLER
K00812.02,4139816,CONFIRMED,20.06036336,3.3203,1494.7,1.96,361.0,4.0,3950.0,0.493,4.754,15.954,KEPLER
K00812.03,4139816,CONFIRMED,46.1842039,4.758,1394.7,1.83,273.0,1.32,3950.0,0.493,4.754,15.954,KEPLER
K00116.04,8395660,CONFIRMED,23.9800854,5.351,104.0,1.31,649.0,41.94,5854.0,1.012,4.406,12.882,KEPLER
K00812.04,4139816,CONFIRMED,7.82502168,2.186,520.8,1.2,494.0,14.05,3950.0,0.493,4.754,15.954,KEPLER
K00813.01,4275191,CONFIRMED,3.895936525,2.3111,8544.8,7.34,1005.0,241.62,5557.0,0.774,4.592,15.725,KEPLER
K00814.01,4476123,CONFIRMED,22.36646466,5.228,986.8,2.32,536.0,19.45,5395.0,0.734,4.615,15.583,KEPLER
K00801.01,3351888,CONFIRMED,1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,5539.0,1.106,4.322,15.001,KEPLER
K00802.01,3453214,CANDIDATE,19.620346923,2.0038,21725.0,13.6,643.0,40.39,5710.0,0.905,4.492,15.562,KEPLER
K00803.01,3554600,FALSE_POSITIVE,7.544039,6.222,322.6,17.47,838.0,116.46,5657.0,0.824,4.567,15.559,KEPLER
K00804.01,3641726,CONFIRMED,9.02930689,3.1449,1019.8,2.57,757.0,77.75,5349.0,0.82,4.526,15.387,KEPLER
K00805.01,3734868,FALSE_POSITIVE,10.328035714,7.7915,16918.0,13.28,843.0,119.31,5627.0,1.024,4.359,15.646,KEPLER
K00806.01,3832474,CONFIRMED,143.2063047,8.9302,10566.0,8.9,308.0,2.14,5485.0,0.867,4.556,15.403,KEPLER
K00116.03,8395660,CONFIRMED,6.164876,3.262,55.8,0.79,1021.0,256.35,5854.0,1.012,4.406,12.882,KEPLER
K00806.02,3832474,CONFIRMED,60.32494216,6.6188,20280.0,12.19,411.0,6.77,5485.0,0.867,4.556,15.403,KEPLER
K00806.03,3832474,CONFIRMED,29.1598615,4.803,488.0,1.91,524.0,17.85,5485.0,0.867,4.556,15.403,KEPLER
K00807.01,3836375,FALSE_POSITIVE,1.540397253,2.1541,816.1,25.69,1470.0,1105.68,5663.0,0.915,4.53,15.974,KEPLER
K00808.01,3838486,FALSE_POSITIVE,2.99025443,5.414,589.2,1.7,918.0,168.45,4667.0,0.731,4.578,15.842,KEPLER
K00809.01,3935914,CONFIRMED,1.594745374,1.9604,15044.0,11.3,1539.0,1329.42,5934.0,0.893,4.491,15.53,KEPLER
K00810.01,3940418,CONFIRMED,4.783002698,2.335,1008.7,2.5,886.0,145.48,5170.0,0.807,4.574,15.119,KEPLER
K00811.01,4049131,CONFIRMED,20.50588921,4.0595,2105.5,3.41,518.0,17.06,4905.0,0.761,4.544,15.398,KEPLER
K00812.01,4139816,CONFIRMED,3.340218842,1.9104,1632.6,2.03,656.0,43.73,3950.0,0.493,4.754,15.954,KEPLER
K00828.01,5287983,FALSE_POSITIVE,2.507089906,2.0067,1339.2,30.26,1326.0,730.47,5926.0,0.939,4.506,15.555,KEPLER
K00829.01,5358241,CONFIRMED,18.64932728,4.4056,893.6,3.12,701.0,57.13,5775.0,1.053,4.405,15.386,KEPLER
K00117.02,10875245,CONFIRMED,4.90144976,4.1654,140.7,1.7,1262.0,598.74,5847.0,1.402,4.191,12.487,KEPLER
K00829.02,5358241,CONFIRMED,9.75192101,4.793,418.0,2.76,870.0,135.66,5775.0,1.053,4.405,15.386,KEPLER
K00829.03,5358241,CONFIRMED,38.5576546,5.794,993.0,4.02,550.0,21.71,5775.0,1.053,4.405,15.386,KEPLER
K00830.01,5358624,CONFIRMED,3.525632539,2.59959,22335.0,11.58,975.0,213.12,5150.0,0.793,4.572,15.224,KEPLER
K00815.01,4544670,CANDIDATE,34.84398644,2.9315,4523.6,7.61,511.0,16.1,5509.0,0.871,4.482,15.684,KEPLER
K00816.01,4664847,CONFIRMED,7.748094239,3.5957,2472.1,5.52,964.0,204.39,5973.0,1.085,4.439,15.67,KEPLER
K00817.01,4725681,CONFIRMED,23.96793669,3.827,1182.3,1.8,329.0,2.77,3747.0,0.524,4.728,15.414,KEPLER
K00817.02,4725681,CONFIRMED,8.29561738,1.3421,824.3,1.82,469.0,11.39,3747.0,0.524,4.728,15.414,KEPLER
K00818.01,4913852,CONFIRMED,8.11437482,2.2736,1558.0,2.1,460.0,10.55,3692.0,0.517,4.753,15.877,KEPLER
K00819.01,4932348,FALSE_POSITIVE,38.036729482,4.34617,82872.0,27.5,500.0,14.81,5575.0,0.932,4.521,15.472,KEPLER
K00820.01,4936180,CANDIDATE,4.64090031,35.512,2450.6,30.09,1155.0,421.08,6463.0,0.826,4.5,15.27,KEPLER
K00011.01,11913073,FALSE_POSITIVE,3.747838198,5.0642,616.0,13.65,1031.0,266.76,5514.0,0.826,4.569,13.496,KEPLER
K00117.01,10875245,CONFIRMED,14.74914825,6.0995,430.2,2.89,874.0,137.91,5847.0,1.402,4.191,12.487,KEPLER
K00821.01,5021899,CONFIRMED,21.81295996,4.3791,1175.4,3.38,639.0,39.33,5601.0,0.999,4.41,15.54,KEPLER
K00822.01,5077629,FALSE_POSITIVE,7.91936937,3.3148,15148.0,10.34,814.0,104.0,5690.0,0.776,4.588,15.805,KEPLER
K00823.01,5115978,CANDIDATE,1.028436523,1.8606,8098.0,72.77,1947.0,3400.48,6228.0,0.99,4.428,15.202,KEPLER
K00824.01,5164255,CONFIRMED,15.37562369,3.3169,15337.0,11.01,600.0,30.54,4986.0,0.833,4.496,16.422,KEPLER
K00825.01,5252423,CONFIRMED,8.10363271,3.161,887.9,2.11,687.0,52.82,4861.0,0.732,4.574,15.289,KEPLER
K00825.02,5252423,CONFIRMED,4.71510843,2.506,417.5,1.46,823.0,108.84,4861.0,0.732,4.574,15.289,KEPLER
K00826.01,5272878,CONFIRMED,6.365839713,2.9721,780.7,2.44,914.0,165.33,5776.0,0.849,4.554,15.09,KEPLER
K00827.01,5283542,FALSE_POSITIVE,5.97581754,3.065,962.4,3.86,1047.0,284.25,6108.0,0.997,4.471,15.546,KEPLER
K00839.01,5649215,FALSE_POSITIVE,2.446737317,4.7211,1177.9,26.25,1261.0,597.19,5764.0,0.863,4.548,15.021,KEPLER
K00840.01,5651104,CONFIRMED,3.04033046,1.8411,10859.0,8.99,1021.0,257.29,5035.0,0.791,4.519,15.028,KEPLER
K00841.01,5792202,CONFIRMED,15.33528675,3.897,3081.4,5.0,610.0,32.67,5251.0,0.817,4.581,15.855,KEPLER
K00117.04,10875245,CONFIRMED,7.95825328,4.377,50.0,1.06,1074.0,314.15,5847.0,1.402,4.191,12.487,KEPLER
K00841.02,5792202,CONFIRMED,31.33046135,5.176,5073.8,6.5,481.0,12.61,5251.0,0.817,4.581,15.855,KEPLER
K00831.01,5370302,FALSE_POSITIVE,3.9043425,3.831,16228.0,12.28,1104.0,351.05,5810.0,0.898,4.526,15.016,KEPLER
K00832.01,5372966,FALSE_POSITIVE,9.286358079,3.49949,44791.0,17.61,796.0,95.03,5670.0,0.821,4.523,15.365,KEPLER
K00833.01,5376067,FALSE_POSITIVE,3.951405455,2.1862,2453.9,31.44,1133.0,388.71,6046.0,0.869,4.539,15.446,KEPLER
K00834.01,5436502,CONFIRMED,23.65369415,8.2183,3341.8,7.89,731.0,67.65,5739.0,1.384,4.191,15.084,KEPLER
K00834.02,5436502,CONFIRMED,13.23352214,6.7372,504.6,3.06,888.0,146.67,5739.0,1.384,4.191,15.084,KEPLER
K00834.03,5436502,CONFIRMED,6.15560285,4.9843,285.0,2.32,1146.0,406.94,5739.0,1.384,4.191,15.084,KEPLER
K00834.04,5436502,CONFIRMED,2.090811305,3.388,115.9,1.62,1642.0,1718.04,5739.0,1.384,4.191,15.084,KEPLER
K00117.03,10875245,CONFIRMED,3.180027898,3.5797,120.3,1.53,1458.0,1066.86,5847.0,1.402,4.191,12.487,KEPLER
K00834.05,5436502,CONFIRMED,50.4467417,7.159,370.3,2.67,568.0,24.64,5739.0,1.384,4.191,15.084,KEPLER
K00835.01,5456651,CONFIRMED,11.76307164,2.9076,1037.3,2.35,616.0,33.99,4959.0,0.756,4.603,15.208,KEPLER
K00835.02,5456651,CONFIRMED,56.2279271,3.57,862.7,2.37,366.0,4.22,4959.0,0.756,4.603,15.208,KEPLER
K00836.01,5481416,FALSE_POSITIVE,2.384052875,3.0918,1268.1,17.06,1010.0,244.87,4794.0,0.701,4.58,15.836,KEPLER
K00837.01,5531576,CONFIRMED,7.953547,2.6312,875.4,2.25,696.0,55.37,4768.0,0.779,4.536,15.66,KEPLER
K00837.02,5531576,CONFIRMED,4.14451656,2.3421,391.8,1.48,864.0,132.08,4768.0,0.779,4.536,15.66,KEPLER
K00838.01,5534814,FALSE_POSITIVE,4.859386384,2.2757,6044.3,38.33,1114.0,364.23,6072.0,0.988,4.47,15.311,KEPLER
K00850.01,6291653,CONFIRMED,10.526294577,2.5211,9768.0,8.24,713.0,61.16,5386.0,0.793,4.553,15.305,KEPLER
K00851.01,6392727,CONFIRMED,4.583520948,2.7055,3812.1,5.39,1038.0,274.98,5815.0,0.877,4.54,15.287,KEPLER
K00852.01,6422070,CONFIRMED,3.76181843,3.5176,510.6,2.66,1121.0,372.62,5653.0,0.949,4.472,15.257,KEPLER
K00853.01,6428700,CONFIRMED,8.20396958,2.9667,1024.4,3.01,742.0,71.5,5015.0,0.826,4.499,15.376,KEPLER
K00853.02,6428700,CONFIRMED,14.49645186,4.016,647.5,3.01,613.0,33.48,5015.0,0.826,4.499,15.376,KEPLER
K00841.03,5792202,CONFIRMED,6.54626149,2.75,655.9,2.19,810.0,101.78,5251.0,0.817,4.581,15.855,KEPLER
K00842.01,5794379,CONFIRMED,12.71809866,3.0957,1149.4,2.31,562.0,23.6,4702.0,0.686,4.592,15.389,KEPLER
K00842.02,5794379,CONFIRMED,36.06588163,4.3246,1563.8,2.64,397.0,5.88,4702.0,0.686,4.592,15.389,KEPLER
K00843.01,5881688,CONFIRMED,4.190425659,2.8589,2877.4,6.21,1234.0,547.9,6073.0,1.135,4.392,15.27,KEPLER
K00844.01,6022556,CONFIRMED,3.709870784,3.0694,2020.3,4.35,1151.0,415.1,5727.0,0.978,4.463,15.581,KEPLER
K00845.01,6032497,CONFIRMED,16.3297527,6.271,1187.5,3.75,727.0,66.08,5878.0,0.987,4.444,15.447,KEPLER
K00846.01,6061119,CONFIRMED,27.807566216,4.21587,25391.0,13.84,554.0,22.24,5862.0,0.785,4.584,15.482,KEPLER
K00847.01,6191521,CONFIRMED,80.8723469,11.195,3604.6,7.59,452.0,9.88,5510.0,1.238,4.222,15.201,KEPLER
K00848.01,6267425,FALSE_POSITIVE,3.166465862,2.9381,4357.2,26.82,954.0,196.31,4968.0,0.704,4.575,15.999,KEPLER
K00118.01,3531558,CONFIRMED,24.99324319,5.9409,269.6,2.29,712.0,60.88,5718.0,1.317,4.181,12.377,KEPLER
K00849.01,6276477,CONFIRMED,10.35533116,3.1775,750.6,2.47,777.0,86.22,5501.0,0.918,4.462,15.018,KEPLER
K00867.01,6863998,CONFIRMED,16.08518937,3.984,1442.4,3.68,613.0,33.43,5239.0,0.826,4.523,15.219,KEPLER
K00868.01,6867155,CANDIDATE,235.9986399,8.2284,20715.0,10.59,188.0,0.29,4245.0,0.657,4.627,15.172,KEPLER
K00869.01,6948054,CONFIRMED,7.49018305,2.7297,1123.6,2.56,753.0,76.06,5103.0,0.787,4.562,15.599,KEPLER
K00869.02,6948054,CONFIRMED,36.2761238,4.7865,1572.6,3.03,445.0,9.29,5103.0,0.787,4.562,15.599,KEPLER
K00869.03,6948054,CONFIRMED,17.46087931,2.2641,812.4,2.32,568.0,24.6,5103.0,0.787,4.562,15.599,KEPLER
K00854.01,6435936,CONFIRMED,56.0560754,4.685,1626.0,1.94,233.0,0.69,3593.0,0.491,4.757,15.849,KEPLER
K00855.01,6522242,CONFIRMED,41.408316686,5.0264,22839.0,11.38,453.0,9.93,5522.0,0.747,4.586,15.196,KEPLER
K00856.01,6526710,CANDIDATE,39.74893077,7.3051,15179.0,14.21,552.0,21.87,6122.0,0.964,4.487,15.344,KEPLER
K00857.01,6587280,CONFIRMED,5.715425977,2.5242,908.1,2.47,850.0,123.03,5237.0,0.826,4.572,15.086,KEPLER
K00119.01,9471974,CONFIRMED,49.18394185,11.3364,1646.2,8.2,669.0,47.4,5626.0,2.057,3.907,12.654,KEPLER
K00857.02,6587280,CONFIRMED,20.0261412,1.611,421.2,2.28,559.0,23.14,5237.0,0.826,4.572,15.086,KEPLER
K00858.01,6599919,CANDIDATE,13.61014819,2.594,5732.9,19.02,733.0,68.29,5697.0,0.903,4.46,15.06,KEPLER
K00859.01,6675056,FALSE_POSITIVE,10.44331991,2.743,1159.8,2.66,667.0,46.94,4947.0,0.802,4.516,15.546,KEPLER
K00861.01,6685526,CONFIRMED,2.237489571,1.8119,315.8,1.41,1160.0,427.17,5265.0,0.81,4.58,15.001,KEPLER
K00862.01,6756669,FALSE_POSITIVE,5.851520671,3.11058,33004.0,14.62,901.0,155.89,5532.0,0.806,4.53,15.33,KEPLER
K00863.01,6784235,CONFIRMED,3.167893418,2.1814,781.2,2.62,1221.0,526.23,5895.0,0.94,4.503,15.533,KEPLER
K00864.01,6849310,CONFIRMED,4.311780262,2.7251,1154.0,3.11,1038.0,274.84,5527.0,0.927,4.484,15.604,KEPLER
K00864.02,6849310,CONFIRMED,20.0504494,4.556,840.9,2.69,622.0,35.44,5527.0,0.927,4.484,15.604,KEPLER
K00864.03,6849310,CONFIRMED,9.76734503,1.6585,569.1,2.67,791.0,92.46,5527.0,0.927,4.484,15.604,KEPLER
K00865.01,6862328,CANDIDATE,119.0207044,8.1405,7430.5,8.98,366.0,4.25,5453.0,1.062,4.342,15.085,KEPLER
K00119.02,9471974,CONFIRMED,190.3200468,15.284,1141.7,7.78,426.0,7.8,5626.0,2.057,3.907,12.654,KEPLER
K00866.01,6862603,FALSE_POSITIVE,2.861159894,1.8832,1014.3,4.37,1355.0,797.1,6126.0,1.021,4.458,15.618,KEPLER
K00880.01,7366258,CONFIRMED,26.44439337,3.9783,1843.5,3.91,562.0,23.54,5427.0,0.929,4.463,15.158,KEPLER
K00880.02,7366258,CONFIRMED,51.53997972,6.3994,3644.3,5.51,450.0,9.67,5427.0,0.929,4.463,15.158,KEPLER
K00880.03,7366258,CONFIRMED,5.902245782,2.9003,702.3,2.43,926.0,173.74,5427.0,0.929,4.463,15.158,KEPLER
K00880.04,7366258,CONFIRMED,2.382951591,1.8876,391.6,1.86,1253.0,583.01,5427.0,0.929,4.463,15.158,KEPLER
K00881.01,7373451,CONFIRMED,21.02250608,4.1072,1772.5,3.07,521.0,17.48,5067.0,0.75,4.585,15.859,KEPLER
K00869.04,6948054,CONFIRMED,3.219814777,2.0642,488.2,1.69,998.0,234.93,5103.0,0.787,4.562,15.599,KEPLER
K00870.01,6949607,CONFIRMED,5.912273234,2.3254,961.4,1.73,585.0,27.72,4072.0,0.57,4.696,15.036,KEPLER
K00870.02,6949607,CONFIRMED,8.98581901,2.8606,881.3,1.65,509.0,15.9,4072.0,0.57,4.696,15.036,KEPLER
K00871.01,7031517,CANDIDATE,12.940668656,2.4845,42450.0,22.94,723.0,64.64,5875.0,0.809,4.572,15.215,KEPLER
K00120.01,11869052,FALSE_POSITIVE,20.5452375,2.517,218.5,2.41,742.0,71.57,5670.0,1.264,4.206,12.003,KEPLER
K00872.01,7109675,CONFIRMED,33.60123371,4.4056,7425.9,8.46,495.0,14.22,5149.0,0.93,4.447,15.262,KEPLER
K00872.02,7109675,CONFIRMED,6.76652928,2.9004,450.7,1.97,845.0,120.48,5149.0,0.93,4.447,15.262,KEPLER
